id,jp_name,en_name
1,金易二郎,Yasujiro Kon
3,金子金五郎,Kingorou Kaneko
4,渡辺東一,Touichi Watanabe
5,萩原淳,Kiyoshi Hagiwara
6,中井捨吉,Sutekichi Nakai
7,大野源一,Genichi Oono
8,志沢春吉,Harukichi Shizawa
9,市川一郎,Ichiro Ichikawa
10,坂口允彦,Nobuhiko Sakaguchi
12,梶一郎,Ichiro Kaji
13,角田三男,Mitsuo Kakuta
14,加藤治郎,Jirou Katou
15,松下力,Tsutomu Matsushita
16,奥野基芳,Motoyoshi Okuno
17,小堀清一,Seiichi Kobori
19,高島一岐代,Kazukiyo Takashima
20,荒巻三之,Mitsuyuki Aramaki
21,永沢勝雄,Katsuo Nagasawa
22,加藤恵三,Keizou Katou
23,岡崎史明,Shimei Okazaki
24,北楯修哉,Shuuya Kitadate
25,松田茂役,Shigeyuki Matsuda
26,大山康晴,Yasuharu Ooyama
27,山本武雄,Takeo Yamamoto
28,山中和正,Kazumasa Yamanaka
29,板谷四郎,Shirou Itaya
30,本間爽悦,Souetsu Honma
31,高柳敏夫,Toshio Takayanagi
32,広津久雄,Hisao Hirotsu
33,吉田六彦,Mutsuhiko Yoshida
34,富沢幹雄,Mikio Tomizawa
35,原田泰夫,Yasuo Harada
36,星田啓三,Keizou Hoshida
37,南口繁一,Shigekazu Minamiguchi
38,北村秀治郎,Hidejiro Kitamura
40,山川次彦,Tsugihiko Yamakawa
42,加藤博二,Hiroji Katou
43,丸田祐三,Yuzo Maruta
44,灘蓮照,Renshou Nada
45,平野広吉,Hirokichi Hirano
46,五十嵐豊一,Toyoichi Igarashi
47,清野静男,Shizuo Seino
48,佐藤豊,Yutaka Satou
49,木川貴一,Kiichi Kigawa
50,下平幸男,Yukio Shimodaira
52,西本馨,Kaoru Nishimoto
54,熊谷達人,Michihito Kumagai
55,増田敏二,Toshiji Masuda
56,浅沼一,Hajime Asanuma
57,二上達也,Tatsuya Futakami
58,橋本三治,Sanji Hashimoto
59,津村常吉,Tsuneyoshi Tsumura
